Marka,Model,Rok produkcji,Rodzaj pojazdu,Rodzaj paliwa,Podrodzaj pojazdu,Liczba wystąpień
KIA,PRIDE 1.3 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
SEAT,CORDOBA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
BMW,750 5.4 KAT.,1996,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FS-LUBLIN,3302,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
FIAT,UNO MAQ.97 FIRE KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
OPEL,VECTRA 1.8,1991,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
SKODA,FELICIA,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,3
FIAT,SEICENTO 1.1 KAT. SPORTING,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,FELICIA PICKUP,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,SKRZYNIA,1
FIAT,PUNTO,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
OPEL,CALIBRA 2.0 16V,1990,SAMOCHÓD OSOBOWY,BENZYNA,COUPE,1
OPEL,TIGRA-A,1995,SAMOCHÓD OSOBOWY,BENZYNA,COUPE,1
VOLKSWAGEN,TRANSPORTER,1993,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,2
PEUGEOT,206,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
DAEWOO,TICO,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,4
VOLKSWAGEN,"LT 35 2,5 TDI",1998,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
FIAT,MULTIPLA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MERCEDES-BENZ,312 2.9D SPRINTER,1996,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
SKODA,OCTAVIA,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,4
SKODA,"FELICJA LXI 1,3",1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
NISSAN,PRIMERA,1993,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FIAT,SEICENTO,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,8
HYUNDAI,ATOS,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,INNY,2
MERCEDES-BENZ,VITO 110D KA,1998,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
FORD,ESCORT 1.8D,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,1
FSO,"POLONEZ TRUCK 1,6",1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,SKRZYNIA,1
FIAT,SEICENTO 1.1,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,VAN,1
DAEWOO,NUBIRA,1998,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
MERCEDES-BENZ,208D,1993,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
KIA,PRIDE 1.3,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FORD,KA,1998,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FORD,FOCUS,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
NISSAN,ALMERA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
VOLKSWAGEN,LT 35,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,VAN,1
FIAT,"DUCATO 2,8 TD",1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,INNY,1
,"ESCORT 1,4 KAT'",1991,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
OPEL,CORSA,1995,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
RENAULT,MEGANE SCENIC,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
KIA,SHUMA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
FIAT,PALIO WEEKEND,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,INNY,1
FORD,TRANSIT 2.5D,1996,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,VAN,1
FIAT,"SIENA 1,2",1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
NISSAN,SUNNY 2.0DLX,1994,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,1
RENAULT,KANGOO,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,2
MERCEDES-BENZ,600 SE,1995,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
MERCEDES-BENZ,124 200D,1992,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
,TRANSIT,1990,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,INNY,1
OPEL,KADETT,1987,SAMOCHÓD OSOBOWY,,INNY,1
DAEWOO,LANOS S,1999,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
BMW,316,1993,SAMOCHÓD OSOBOWY,,KARETA (SEDAN),1
,CARO PLUS,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FIAT,UNO,1999,SAMOCHÓD OSOBOWY,,INNY,1
VOLKSWAGEN,TRANSPORTER 1.9TD,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
HYUNDAI,H100,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,WIELOZADANIOWY,1
LANCIA,DEDRA 2.0,1995,SAMOCHÓD OSOBOWY,BENZYNA,FURGON,1
CITROEN,"AX 1,4",1988,SAMOCHÓD OSOBOWY,,INNY,1
DAEWOO,LANOS 1.5,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
FS LUBLIN,3554,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
SEAT,CORDOBA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
TOYOTA,COROLLA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
DAEWOO,NUBIRA 1.6 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FIAT,BRAVA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
HYUNDAI,ACCENT,1999,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
NISSAN,MICRA 1.0,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FIAT,SEICENTO KAT,1999,SAMOCHÓD OSOBOWY,,INNY,1
NISSAN,ALMERA 1.4I,1999,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
KIA,SPORTAGE,1999,SAMOCHÓD OSOBOWY,BENZYNA,TERENOWY,1
OPEL,"CORSA 1,4",1997,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
DAEWOO,MATIZ LIFE 0.8 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
AUDI,A4 1.9 TD,1996,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,INNY,1
KIA,K2700,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,2
KIA,CARNIVAL,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,VAN,1
DAEWOO,LUBLIN,1999,SAMOCHÓD SPECJALNY,OLEJ NAPĘDOWY,---,1
FSO,POLONEZ CARO,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FORD,ESCORD,1991,SAMOCHÓD OSOBOWY,BENZYNA,---,1
DAEWOO,LANOS,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,WIELOZADANIOWY,7
FIAT,126 650ELX MALUCH TOWN SX,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
OPEL,ASTRA 1.6KAT,1995,SAMOCHÓD OSOBOWY,,INNY,1
FIAT,UNO,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
DAEWOO,"LANOS 1,5",1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
VOLKSWAGEN,LT 55,1993,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
PEUGEOT,306,1994,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
DAEWOO,LANOS 1.6,1998,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
FORD,EXPRESS,1994,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
RENAULT,CLIO 1.2 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MERCEDES-BENZ,SPRINTER,1995,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
FIAT,126 650,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
VOLKSWAGEN,PASSAT 1.6D,1982,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,FURGON,1
FIAT,TIPO,1993,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,OCTAVIA 1.6 LX,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
TOYOTA,CARINA,1991,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
PEUGEOT,PARTNER,1999,SAMOCHÓD CIĘŻAROWY,,WIELOZADANIOWY,1
TOYOTA,AVENSIS 1.8,1998,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
AUDI,COUPE,1982,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
SKODA,FELICIA 1.6 GLX KAT SAGA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
DAEWOO,LANOS 1.5,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
RENAULT,LAGUNA 1.6,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,INNY,1
DAEWOO,NUBIRA2.0KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
HONDA,CIVIC MB27,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
TOYOTA,CARINA E 1.8KAT,1997,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MITSUBISHI,GALANT,1998,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
VOLKSWAGEN,LT 35 2.5 TDI,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
CITROEN,"BERLINGO 1,9 D",1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,VAN,1
KIA,K 2700,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
KIA,K2700,1999,SAMOCHÓD CIĘŻAROWY,,FURGON,1
FIAT,"PUNTO 1,1KAT",1995,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
ALFA ROMEO,156,1997,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
BMW,325,1996,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
FSO,POLONEZ ATU,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
DAEWOO,NUBIRA,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,KOMBI,2
DAEWOO,"LANOS 1,5 KAT",1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
VOLKSWAGEN,GOLF 1.6,1989,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
AUDI,"80 2,0 KAT.",1993,SAMOCHÓD OSOBOWY,BENZYNA,FURGON,1
FIAT,PALIO WEEKEN,1999,SAMOCHÓD CIĘŻAROWY,,WIELOZADANIOWY,1
VOLVO,FM7-JADEC,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
RENAULT,MEGANE,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,FELICIA GLXI,1999,SAMOCHÓD OSOBOWY,,INNY,1
FIAT,126 ELX,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,2
BMW,5231,1997,SAMOCHÓD OSOBOWY,,INNY,1
,3352/11,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,WIELOZADANIOWY,1
CITROEN,XSARA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
,332212,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,WIELOZADANIOWY,1
TOYOTA,"CARINA 1,6 KAT",1995,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
VOLKSWAGEN,GOLF,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,3
VOLKSWAGEN,PASSAT 1.9 TDI,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,2
FORD,KA 1.3 KAT,1997,SAMOCHÓD OSOBOWY,BENZYNA,FURGON,1
POLSKI FIAT,126 650,1999,SAMOCHÓD OSOBOWY,,INNY,1
SCANIA,113,1996,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,INNY,1
JAGUAR,XJ6 4.0 KAT,1991,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
MITSUBISHI,L 200 2.5D,1998,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
HYUNDAI,GALLOPER,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,2
OPEL,ZAFIRA,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
RENAULT,CLIO,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
TOYOTA,COROLLA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MAN,18.23,1994,SAMOCHÓD SPECJALNY,OLEJ NAPĘDOWY,---,1
MERCEDES-BENZ,190 D,1989,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
OPEL,CORSA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,OCTAVIA 1.9 TDI,1998,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,1
VOLKSWAGEN,POLO,1987,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
FORD,FIESTA,1998,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,1
FIAT,126ELX,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
VOLKSWAGEN,PASSAT 1.9 D,1990,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),2
OPEL,ASTRA KAT,1993,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
OPEL,ASTRA 1.6 KAT,1992,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
OPEL,"ASTRA 1,7 TD",1993,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,1
VOLKSWAGEN,GOLF,1996,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,1
SEAT,TOLEDO 2.0,1991,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
AUDI,"A6 2,5 TDI",1998,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,INNY,1
MAN,10.163 LLC,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,WYWROTKA,1
FIAT,BRAVA,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
FIAT,SEICENTO 899,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
OPEL,CORSA A-CC1.4,1990,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MITSUBISHI,CARISMA,1996,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,"OCTAVIA 1,9 TDI",1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
KIA,PRIDE,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,2
HYUNDAI,"COUPE 1,6KAT",1993,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
CITROEN,JUMPY 1.9 D,1996,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,WIELOZADANIOWY,1
FIAT,126,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MAZDA,626,1984,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
VOLKSWAGEN,T4,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
CITROEN,C15,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,INNY,1
SKODA,FELICIA,1997,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MAN,25.372,1993,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
VOLKSWAGEN,GOLF,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,1
VOLKSWAGEN,JETTA,1989,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
VOLKSWAGEN,GOLF 1.3,1991,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
MERCEDES-BENZ,VITO 112CDI,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
RENAULT,LAGUNA KOMBI,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
FORD,ESCORT 1.4,1991,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
,ESCORT 1.6,1991,SAMOCHÓD OSOBOWY,,KOMBI,1
FIAT,PALIO,1999,SAMOCHÓD OSOBOWY,,INNY,2
DAEWOO,TICO,2000,SAMOCHÓD OSOBOWY,BENZYNA,---,1
FIAT,BRAVA 1.2 SX,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,OCTAVIA 1.9 GLX TDI,1999,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,1
PEUGEOT,PARTNER,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,FURGON,1
FSO,TRUCK,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
OPEL,ASTRA/CARAVAN,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
LAND ROVER,DEFENDER,1998,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,CIĘŻAROWO-OSOBOWY,1
AUDI,80 1.9TDI KOMBI,1993,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
LAND ROVER,FREELANDER,1998,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
CITROEN,"XSARA 1,8 I",1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,INNY,1
FIAT,126 650 LEX,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
VOLKSWAGEN,GOLF 1.8 KAT,1996,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FIAT,DUCATO,1996,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
VOLKSWAGEN,"PASSAT 1,9 CL D",1991,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,INNY,1
CITROEN,BERLINGO,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,FURGON,1
RENAULT,CLIO,1994,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MERCEDES-BENZ,VITO,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,VAN,2
DAEWOO,4A11BD MATIZ,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FORD,"ESCORT 1,6",1985,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MERCEDES-BENZ,C280,1994,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
POLSKI FIAT,126P650,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
IVECO,DAILY 35.10,1998,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,INNY,1
RENAULT,MEGANE,1996,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,2
SEAT,TOLEDO 1.9D,1996,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
FIAT,126 650 ELX MALUCH TOWN,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
JAGUAR,S-TYPE 4.0 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
RENAULT,MASTER,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,WIELOZADANIOWY,1
HYUNDAI,ATOS 1.0 GL,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
