Marka,Model,Rok produkcji,Rodzaj pojazdu,Rodzaj paliwa,Podrodzaj pojazdu,Liczba wystąpień
VOLKSWAGEN,"POLO 0,9 CL",1992,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FORD,"GALAXY 2,3",1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FORD,EXPLORER,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,WIELOZADANIOWY,1
KIA,PRIDE 1.3 KAT KOMBI,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
VOLKSWAGEN,GOLF,1993,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FORD,ESCORT,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
SKODA,FELICIA EFF LXI,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,FELICIA 1.3KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
VOLKSWAGEN,GOLF 1.9D,1995,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
HONDA,CIVIC,1995,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
VOLKSWAGEN,POLO 1.0,1996,SAMOCHÓD OSOBOWY,,INNY,1
FORD,MONDEO,1997,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,1
,ESCORT 1.8D,1990,SAMOCHÓD OSOBOWY,,INNY,1
VOLKSWAGEN,"POLO 1,0 CL",1991,SAMOCHÓD OSOBOWY,,KARETA (SEDAN),1
FIAT,126 650ELX,1999,SAMOCHÓD OSOBOWY,,INNY,1
CITROEN,BERLINGO 1.8D,1996,SAMOCHÓD OSOBOWY,,KARETA (SEDAN),1
MERCEDES,500 SEC,1989,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,INNY,1
OPEL,"VECTRA 2,0",1992,SAMOCHÓD OSOBOWY,,INNY,1
OPEL,CAMPO 3.1 TD,1994,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
DAEWOO,LUBLIN 352417,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
TOYOTA,YARIS 1.0 KAT.,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
RENAULT,MEGANE SCENIC,1999,SAMOCHÓD CIĘŻAROWY,BENZYNA,WIELOZADANIOWY,1
OPEL,ASTRA CLASSIC,1999,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
RENAULT,"MEGANE CLASSIC 1,4",1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
RENAULT,CLIO 1.9 D,1998,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,HATCHBACK,1
FIAT,DUCATO,1994,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
HYUNDAI,ATOS 1.0,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
OPEL,VECTRA,1996,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
SKODA,OCTAVIA,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
RENAULT,MEGANE,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,FELICIA 1.3,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
PEUGEOT,BOXER,1997,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,VAN,1
DAEWOO,LUBLIN 352417,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,WIELOZADANIOWY,1
OPEL,"KADETT 1,4",1991,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
PEUGEOT,405,1988,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
VOLKSWAGEN,GOLF 1.6 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
MERCEDES-BENZ,914/37,1991,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
OPEL,VECTRA,1996,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
SKODA,FELICIA 1.6 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
OPEL,ASTRA 1.4 KOMBI,1999,SAMOCHÓD OSOBOWY,BENZYNA,KOMBI,1
SUZUKI,SWIFT 1.0,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
KIA,PRIDE KAT,1999,SAMOCHÓD OSOBOWY,,---,1
FORD,FOCUS,1998,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
,355417,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
MERCEDES-BENZ,126C,1986,SAMOCHÓD OSOBOWY,BENZYNA,COUPE,1
VOLKSWAGEN,GOLF,1986,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,INNY,1
FIAT,126 EL,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
PEUGEOT,306,1997,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
IVECO,DAILY35.10,1998,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
FORD,TRANSIT 2.5 D,1994,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
FSO,POLONEZ ATU 1.6,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FIAT,126 650 ELX MALUCH,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
,ORION 1.6 KAT,1990,SAMOCHÓD OSOBOWY,BENZYNA,---,1
VOLVO,AMAZON,1970,SAMOCHÓD OSOBOWY,BENZYNA,WIELOZADANIOWY,1
FIAT,SEICENTO YOUNG 899,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
KIA,PRIDE GLX,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
NISSAN,CABSTAR,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
OPEL,VECTRA,1990,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KARETA (SEDAN),1
FORD,WINDSTAR,1998,SAMOCHÓD OSOBOWY,BENZYNA,VAN,1
MERCEDES-BENZ,1422,1993,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,SKRZYNIA,1
DAEWOO,MATIZ 4M11BD,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
DAEWOO MOTOR POLSKA,LUBLIN 330212,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,FURGON,1
VOLKSWAGEN,"PASSAT 1,9TD",1995,SAMOCHÓD OSOBOWY,OLEJ NAPĘDOWY,KOMBI,1
FIAT,TEMPRA 1.6K,1991,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
VOLKSWAGEN,JETTA,1982,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
VOLKSWAGEN,GOLF 1.4 KAT,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
TOYOTA,YARIS 1.0,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
OPEL,KADETT-E-CC,1991,SAMOCHÓD OSOBOWY,,---,1
SKODA,FELICIA COMB,1999,SAMOCHÓD OSOBOWY,BENZYNA,INNY,1
FIAT,126 MALUCH,1999,SAMOCHÓD OSOBOWY,,INNY,1
RENAULT,,1999,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
DAEWOO,NUBIRA,2000,SAMOCHÓD OSOBOWY,BENZYNA,KARETA (SEDAN),1
AUDI,80 2.0KAT.,1993,SAMOCHÓD OSOBOWY,,INNY,1
,ESCORT,1991,SAMOCHÓD OSOBOWY,BENZYNA,HATCHBACK,1
FS-LUBLIN,332212,1999,SAMOCHÓD CIĘŻAROWY,OLEJ NAPĘDOWY,INNY,1
POLSKI FIAT,126P650,1984,SAMOCHÓD OSOBOWY,BENZYNA,FURGON,1
MAZDA,MX-3 1.9 V6,1994,SAMOCHÓD OSOBOWY,,---,1
FORD,SIERRA,1986,SAMOCHÓD OSOBOWY,,KOMBI,1
